Tanggal,tgl,Value,Status,Color,Persentase
1,1,96.39097744,Sdg,#5BA3CF,45.16%
2,2,85.31328321,Sdg,#5BA3CF,45.16%
3,3,160.6526316,TS,#2978B8,51.61%
4,4,106.3263158,TS,#2978B8,51.61%
5,5,127.5052632,TS,#2978B8,51.61%
6,6,140.0947368,TS,#2978B8,51.61%
7,7,100.6421053,TS,#2978B8,51.61%
8,8,157.42,TS,#2978B8,51.61%
9,9,64.0726817,Sdg,#5BA3CF,45.16%
10,10,65.55137845,Sdg,#5BA3CF,45.16%
11,11,82.6566416,Sdg,#5BA3CF,45.16%
12,12,97.81954887,Sdg,#5BA3CF,45.16%
13,13,82.88220551,Sdg,#5BA3CF,45.16%
14,14,96.06516291,Sdg,#5BA3CF,45.16%
15,15,120.02,TS,#2978B8,51.61%
16,16,108.6947368,TS,#2978B8,51.61%
17,17,284.07,STS,#9CC8E2,3.23%
18,18,109.2210526,TS,#2978B8,51.61%
19,19,119.9263158,TS,#2978B8,51.61%
20,20,95.70175439,Sdg,#5BA3CF,45.16%
21,21,86.4160401,Sdg,#5BA3CF,45.16%
22,22,104.5157895,TS,#2978B8,51.61%
23,23,108.2315789,TS,#2978B8,51.61%
24,24,105.9578947,TS,#2978B8,51.61%
25,25,121.9789474,TS,#2978B8,51.61%
26,26,196.9157895,TS,#2978B8,51.61%
27,27,92.06766917,Sdg,#5BA3CF,45.16%
28,28,96.66666667,Sdg,#5BA3CF,45.16%
29,29,88.39598997,Sdg,#5BA3CF,45.16%
30,30,95.95238095,Sdg,#5BA3CF,45.16%
31,31,111.5157895,TS,#2978B8,51.61%
