ISPU,Jumlah_Hs,Jarak,Presipitasi,Kec_Angin,Temper
201.98,637,78.79912507,0,2,29.2
91.68,262,86.50375173,35,4,29.9
100.25,477,74.89617744,0,3,29.5
102.57,358,89.46053387,0,4,29.5
107.56,533,85.62674078,0,3,30.1
105.41,897,97.01083346,0,4,29.5
110.34,767,105.7724518,0,3,29.7
92.94,362,89.63858835,8,3,29.6
110.93,279,85.51038348,0,2,28.7
222.89,110,95.62400469,0,2,28.7
97.63,354,91.82688831,0,2,30.1
141.89,470,84.89953849,0,3,28.7
118.83,628,93.89733204,0,3,29
117.05,731,102.5363413,0,3,29.5
123.54,492,92.56452011,0,3,29.9
118.28,493,98.49178195,0,2,28.7
257.16,190,74.79380089,0,2,28.4
163.96,10,85.87365447,0,2,27.3
178.43,170,98.37585672,4,2,28.5
110.87,236,104.8327819,0,2,28.6
112.43,189,101.3297624,0,2,29
124.04,217,106.2497621,0,2,29
226.98,1822,87.38382786,0,3,30
299.85,1958,89.95830479,0,4,29.1
108.72,214,95.30683404,0,2,28.6
125.62,448,100.1046732,0,2,27.9
139.07,562,98.38701901,0,3,29.5
105.33,433,108.2078299,0,2,27
117.89,951,94.59244154,0,2,28.7
125.15,578,101.2488178,0,2,29
132.52,20,137.3204077,0,2,27.3
